1,1,1
1,2,1
1,3,200
1,4,0.5
1,5,1
1,6,
1,7,6
1,8,
2,9,3
2,10,
2,8,
2,11,
2,12,
2,7,6
2,13,1
2,6,
3,14,0.6
3,11,
3,15,50
3,16,100
3,10,
3,5,
3,17,
3,6,
3,8,
4,8,
4,10,
4,18,100
4,19,25
4,20,150
4,11,
4,17,
5,21,200
5,8,
5,4,1
5,14,200
5,22,4
5,11,
5,6,
6,23,150
6,11,
6,24,50
6,25,200
6,26,70
6,8,
6,6,
7,28,1.5
7,29,2
7,10,
7,8,
7,11,
7,6,
7,30,150
7,31,
7,32,400
7,17,
8,33,500
8,11,
8,4,1.3
8,9,1.3
8,8,
8,34,
8,35,80
8,2,1.3
8,14,300
8,36,
8,37,200
9,9,3
9,38,
9,10,
9,11,
9,39,150
9,4,0.6
9,40,0.6
9,32,100
9,6,
9,31,
9,41,60
9,42,30
10,43,25
10,44,15
10,22,1
10,45,500
10,8,
10,46,5
10,47,
11,48,2
11,33,300
11,49,1
11,50,
11,11,
11,8,
11,10,
11,4,0.6
11,9,3
11,17,
11,20,150
11,29,0.6
11,2,0.3
12,48,1
12,4,0.6
12,8,
12,51,300
12,52,100
12,53,0.6
12,11,
12,20,150
13,29,3
13,48,2
13,14,200
13,54,0.6
13,11,
13,4,0.6
13,10,
13,13,0.2
13,55,0.6
13,12,
13,8,
13,56,
14,57,0.5
14,58,0.5
14,59,0.5
14,60,10
14,30,100
14,13,0.5
14,8,
14,12,
15,22,3
15,61,0.1
15,7,6
15,5,0.5
16,7,6
16,62,70
16,63,1
16,64,0.3
16,1,3
17,22,4
17,65,25
17,66,2
17,5,0.5
17,9,1
18,67,8
18,22,6
18,29,1
18,9,1
18,4,1
18,8,
18,11,
18,56,
19,68,3
19,9,1
19,4,0.5
19,11,
19,6,
19,8,
19,27,50
19,41,200
19,31,
20,7,6
20,22,4
20,5,0.5
20,6,
20,11,
20,8,
20,62,70
21,59,0.3
21,69,150
21,70,150
21,71,30
21,11,
21,6,
21,4,0.3
21,10,
21,23,150
22,68,1
22,22,3
22,72,100
22,16,75
22,30,100
22,73,5
22,11,
22,6,
